dim;Iters;Tempo;ObjErro;SolutionErro;alfa
2;12;0.005957126617431641;[[3.67496046926874e-05]];6.020384771501404e-05;0.8
6;12;0.005100727081298828;[[6.953116020724792e-05]];0.00012531128357019705;0.8
10;12;0.004996061325073242;[[6.953116565844297e-05]];0.00012531129443152595;0.8
14;12;0.003998994827270508;[[6.95311656695452e-05]];0.00012531129443734836;0.8
18;12;0.006958961486816406;[[6.953116564734074e-05]];0.0001253112944247592;0.8
22;12;0.008353233337402344;[[6.953116564734074e-05]];0.000125311294425887;0.8
26;12;0.009997367858886719;[[6.95311656695452e-05]];0.00012531129446017314;0.8
2;10;0.00500035285949707;[[2.57624238719778e-05]];3.32388157730777e-05;0.9
6;10;0.0030002593994140625;[[5.680796415497014e-05]];9.383402400279348e-05;0.9
10;10;0.004002571105957031;[[5.680797028340123e-05]];9.383403626370898e-05;0.9
14;10;0.0029997825622558594;[[5.6807970272299e-05]];9.383403626263487e-05;0.9
18;10;0.006083488464355469;[[5.6807970272299e-05]];9.383403626126596e-05;0.9
22;10;0.006493568420410156;[[5.680797028340123e-05]];9.383403626843518e-05;0.9
26;10;0.007460355758666992;[[5.680797028340123e-05]];9.38340362737679e-05;0.9
2;8;0.003000020980834961;[[4.16979861639355e-05]];7.636887310430478e-05;0.95
6;9;0.003149271011352539;[[4.383417417930247e-05]];8.469645568522233e-05;0.95
10;9;0.0029668807983398438;[[4.38341806519027e-05]];8.469646861571179e-05;0.95
14;9;0.003957271575927734;[[4.383418064080047e-05]];8.469646859293883e-05;0.95
18;9;0.007623910903930664;[[4.38341806519027e-05]];8.469646860098137e-05;0.95
22;9;0.00549006462097168;[[4.383418066300493e-05]];8.469646861544601e-05;0.95
26;9;0.006999492645263672;[[4.383418068520939e-05]];8.469646864326108e-05;0.95
2;6;0.0030031204223632812;[[1.54404183216883e-05]];3.084037611623536e-05;0.99
6;7;0.0019659996032714844;[[3.622364631583608e-05]];7.188477474686239e-05;0.99
10;7;0.001964092254638672;[[3.622365306599207e-05]];7.188478823794016e-05;0.99
14;7;0.0030007362365722656;[[3.622365306599207e-05]];7.188478823655424e-05;0.99
18;7;0.0049991607666015625;[[3.62236530770943e-05]];7.188478824879845e-05;0.99
22;7;0.004978656768798828;[[3.62236530770943e-05]];7.18847882437755e-05;0.99
26;7;0.006752490997314453;[[3.622365305488984e-05]];7.188478823372882e-05;0.99
